"","Date","DAX","VDAX"
"1",2007-01-02,6681.13,15.12
"2",2007-01-03,6691.32,15.06
"3",2007-01-04,6674.4,15.31
"4",2007-01-05,6593.09,16.15
"5",2007-01-08,6607.59,16.77
"6",2007-01-09,6614.37,16.7
"7",2007-01-10,6566.56,17.37
"8",2007-01-11,6687.3,15.17
"9",2007-01-12,6705.17,14.78
"10",2007-01-15,6731.74,14.6
"11",2007-01-16,6716.82,15.42
"12",2007-01-17,6701.7,15.61
"13",2007-01-18,6689.62,15.59
"14",2007-01-19,6747.17,14.1
"15",2007-01-22,6687.31,15.43
"16",2007-01-23,6678.93,16.96
"17",2007-01-24,6748.37,15.86
"18",2007-01-25,6719.58,16.36
"19",2007-01-26,6690.34,16.59
"20",2007-01-29,6726.01,16.63
"21",2007-01-30,6788.23,15.68
"22",2007-01-31,6789.11,15.98
"23",2007-02-01,6851.28,15.05
"24",2007-02-02,6885.76,14.37
"25",2007-02-05,6874.06,14.72
"26",2007-02-06,6875.7,14.82
"27",2007-02-07,6915.56,14.3
"28",2007-02-08,6876.73,14.75
"29",2007-02-09,6911.11,14.26
"30",2007-02-12,6859.45,15.47
"31",2007-02-13,6895.34,15.27
"32",2007-02-14,6961.18,14.06
"33",2007-02-15,6958.62,13.71
"34",2007-02-16,6957.07,13.32
"35",2007-02-19,6987.08,13.34
"36",2007-02-20,6982.91,14.4
"37",2007-02-21,6941.66,14.74
"38",2007-02-22,6973.73,14.31
"39",2007-02-23,6992.58,14.24
"40",2007-02-26,7027.59,13.93
"41",2007-02-27,6819.65,16.85
"42",2007-02-28,6715.44,18.08
"43",2007-03-01,6640.24,18.79
"44",2007-03-02,6603.32,19.54
"45",2007-03-05,6534.57,20.89
"46",2007-03-06,6595,19.8
"47",2007-03-07,6617.75,19.29
"48",2007-03-08,6713.23,18.28
"49",2007-03-09,6716.52,18.33
"50",2007-03-12,6715.49,19.14
"51",2007-03-13,6623.99,20.63
"52",2007-03-14,6447.7,23.67
"53",2007-03-15,6585.47,21.53
"54",2007-03-16,6579.87,20.56
"55",2007-03-19,6671.41,19.61
"56",2007-03-20,6700.29,18.51
"57",2007-03-21,6712.06,18.42
"58",2007-03-22,6856.96,17.01
"59",2007-03-23,6899.06,16.89
"60",2007-03-26,6828.82,18.29
